"","sample_ID","PERE_total_reads","phiX_mapped_prop","PERE_mapped_reads","PERE_QC_failed_reads","PERE_mapped_prop","population","added_prop"
"209","PERE_P16-140",216880,0.9728,210973,5907,0.0041,12,0.9769
"210","PERE_P16-273",6188,0.6134,3796,2392,0.3634,16,0.9768
"211","PERE_P16-88",178228,0.9694,172767,5461,0.0063,1,0.9757
"212","PERE_P16-153",743,0.0821,61,682,0.8899,3,0.972
"213","PERE_P16-296",173950,0.9682,168420,5530,0.0033,10,0.9715
"214","PERE_P16-47",4502209,0.9705,4369388,132821,0,13,0.9705
"215","PERE_P16-336",16341,0.8665,14160,2181,0.1036,14,0.9701
"216","PERE_P16-356",10311,0.8851,9126,1185,0.0842,16,0.9693
"217","PERE_P16-361",1368,0.0526,72,1296,0.9167,16,0.9693
"218","PERE_P16-272",278256,0.9605,267268,10988,0.0086,16,0.9691
"219","PERE_P16-155",1730,0.0393,68,1662,0.9295,6,0.9688
"220","PERE_P16-92",5192,0.807,4190,1002,0.16,5,0.967
"221","PERE_P16-156",856,0.0093,8,848,0.9568,13,0.9661
"222","PERE_P16-360",1205,0.0647,78,1127,0.9003,16,0.965
"223","PERE_P16-158",25626,0.9345,23947,1679,0.0296,9,0.9641
"224","PERE_P16-166",43652,0.911,39768,3884,0.0526,6,0.9636
"225","PERE_P16-64",53652,0.9533,51147,2505,0.009,12,0.9623
"226","PERE_P16-312",138818,0.9596,133204,5614,8e-04,11,0.9604
"227","PERE_P16-116",622,0.0209,13,609,0.9392,1,0.9601
"228","PERE_P16-115",1340,0.2112,283,1057,0.7489,3,0.9601
"229","PERE_P16-321",16391,0.8912,14608,1783,0.0684,13,0.9596
"230","PERE_P16-302",13059,0.9067,11841,1218,0.05,10,0.9567
"231","PERE_P16-177",427009,0.9518,406442,20567,0.004,11,0.9558
"232","PERE_P16-315",4347418,0.955,4151942,195476,3e-04,11,0.9553
"233","PERE_P16-278",4094,0.7303,2990,1104,0.2236,4,0.9539
"234","PERE_P16-86",1418278,0.9535,1352394,65884,4e-04,8,0.9539
"235","PERE_P16-48",12208,0.9536,11642,566,0,1,0.9536
"236","PERE_P16-57",8595,0.9536,8196,399,0,1,0.9536
"237","PERE_P16-29",408,0.9534,389,19,0,10,0.9534
"238","PERE_P16-249",61734,0.9414,58118,3616,0.0115,15,0.9529
"239","PERE_P16-111",1784,0.171,305,1479,0.7803,1,0.9513
"240","PERE_P16-151",126819,0.9412,119361,7458,0.0089,8,0.9501
"241","PERE_P16-357",389907,0.9454,368601,21306,7e-04,16,0.9461
"242","PERE_P16-101",904,0.5531,500,404,0.392,1,0.9451
"243","PERE_P16-23",1256,0.9451,1187,69,0,3,0.9451
"244","PERE_P16-104",40982,0.9266,37974,3008,0.0149,1,0.9415
"245","PERE_P16-263",2123,0.1861,395,1728,0.7549,16,0.941
"246","PERE_P16-14",4890,0.9397,4595,295,0,11,0.9397
"247","PERE_P16-163",28192,0.927,26133,2059,0.0117,12,0.9387
"248","PERE_P16-253",3280,0.7918,2597,683,0.1416,15,0.9334
"249","PERE_P16-171",11182,0.8939,9996,1186,0.0383,1,0.9322
"250","PERE_P16-17",76,0.9211,70,6,0,3,0.9211
"251","PERE_P16-18",94680,0.9211,87214,7466,0,3,0.9211
"252","PERE_P16-266",12100,0.8417,10184,1916,0.0786,16,0.9203
"253","PERE_P16-93",1788,0.1941,347,1441,0.714,1,0.9081
"254","PERE_P16-98",3602,0.1694,610,2992,0.738,7,0.9074
"255","PERE_P16-354",30960,0.8752,27097,3863,0.0296,15,0.9048
"256","PERE_P16-80",44910,0.8946,40175,4735,0.0082,7,0.9028
"257","PERE_P16-131",2552544,0.9002,2297804,254740,1e-04,11,0.9003
"258","PERE_P16-127",10106,0.715,7226,2880,0.1849,4,0.8999
"259","PERE_P16-244",9263,0.8552,7922,1341,0.0406,15,0.8958
"260","PERE_P16-355",1572,0.6056,952,620,0.2873,15,0.8929
"261","PERE_P16-110",27837,0.8493,23641,4196,0.0419,11,0.8912
"262","PERE_P16-53",1698,0.884,1501,197,0,13,0.884
"263","PERE_P16-234",6123,0.4777,2925,3198,0.4054,14,0.8831
"264","PERE_P16-256",6796,0.7154,4862,1934,0.1625,15,0.8779
"265","PERE_P16-68",8574,0.7088,6077,2497,0.1679,1,0.8767
"266","PERE_P16-358",24933,0.8208,20466,4467,0.0542,16,0.875
"267","PERE_P16-233",26281,0.8087,21253,5028,0.0641,14,0.8728
"268","PERE_P16-117",2622,0.532,1395,1227,0.3405,4,0.8725
"269","PERE_P16-103",1348,0.1884,254,1094,0.6729,6,0.8613
"270","PERE_P16-157",15050,0.8045,12108,2942,0.0542,13,0.8587
"271","PERE_P16-221",1066,0.5385,574,492,0.3202,14,0.8587
"272","PERE_P16-245",3773,0.177,668,3105,0.6612,15,0.8382
"273","PERE_P16-167",3799,0.0745,283,3516,0.732,3,0.8065
"274","PERE_P16-293",99621,0.7907,78775,20846,0.0155,10,0.8062
"275","PERE_P16-128",9870,0.6534,6449,3421,0.1337,4,0.7871
"276","PERE_P16-264",1601,0.396,634,967,0.3877,16,0.7837
"277","PERE_P16-238",3739,0.6194,2316,1423,0.1502,15,0.7696
"278","PERE_P16-12",13137,0.7684,10095,3042,0,13,0.7684
"279","PERE_P16-144",6874,0.5429,3732,3142,0.2144,11,0.7573
"280","PERE_P16-168",25260,0.7213,18220,7040,0.0277,8,0.749
"281","PERE_P16-120",5342,0.5597,2990,2352,0.1841,13,0.7438
"282","PERE_P16-61",10509,0.6886,7236,3273,0.052,11,0.7406
"283","PERE_P16-259",3077,0.5492,1690,1387,0.1723,16,0.7215
"284","PERE_P16-106",3586,0.3661,1313,2273,0.3393,7,0.7054
"285","PERE_P16-247",2959,0.3028,896,2063,0.3988,15,0.7016
"286","PERE_P16-72",6201,0.5741,3560,2641,0.1162,7,0.6903
"287","PERE_P16-239",2764,0.4352,1203,1561,0.2209,15,0.6561
"288","PERE_P16-143",7206,0.5618,4048,3158,0.0876,8,0.6494
"289","PERE_P16-146",4408,0.4088,1802,2606,0.2147,4,0.6235
"290","PERE_P16-136",7253,0.382,2771,4482,0.2162,6,0.5982
"291","PERE_P16-66",1430,0.2895,414,1016,0.3063,1,0.5958
"292","PERE_P16-137",9641,0.5348,5156,4485,0.0341,4,0.5689
"293","PERE_P16-145",6599,0.3019,1992,4607,0.2081,7,0.51
"294","PERE_P16-119",494147,0.1128,55727,438420,0.0011,13,0.1139
