sample,n_loci,n_used_fw_reads,mean_cov,mean_cov_ns,,,BEGIN effective_coverages_per_sample,,
PERE_P16-66,9,235,26.111,51.418,,,,,
PERE_P16-67,15,263,17.533,17.42,,,,,
PERE_P16-68,112,2959,26.42,29.07,,,,,
PERE_P16-69,1,9,9,9,,,,,
PERE_P16-7,3258,7297,2.24,2.553,,,,,
PERE_P16-70,18065,8461201,468.375,1100.368,,,,,
PERE_P16-71,13821,4882944,353.299,648.117,,,,,
PERE_P16-73,6,149,24.833,24.032,,,,,
PERE_P16-74,10139,2165915,213.622,319.337,,,,,
PERE_P16-78,15,16,1.067,1.066,,,,,
PERE_P16-79,6,161,26.833,26.746,,,,,
PERE_P16-8,3257,7150,2.195,2.577,,,,,
PERE_P16-82,17616,10330353,586.419,1348.247,,,,,
PERE_P16-83,149,3775,25.336,26.942,,,,,
PERE_P16-85,18,520,28.889,28.025,,,,,
PERE_P16-86,6712,661382,98.537,124.025,,,,,
PERE_P16-87,6,106,17.667,14.304,,,,,
PERE_P16-88,1165,85516,73.404,104.283,,,,,
PERE_P16-89,8099,1056764,130.481,171.536,,,,,
PERE_P16-90,4,26,6.5,6.208,,,,,
PERE_P16-91,10978,2033212,185.208,298.748,,,,,
PERE_P16-92,96,2090,21.771,22.013,,,,,
PERE_P16-93,60,142,2.367,2.444,,,,,
PERE_P16-94,3095,141335,45.666,51.339,,,,,
PERE_P16-95,5148,277749,53.953,61.276,,,,,
PERE_P16-96,4,17,4.25,4.912,,,,,
PERE_P16-97,89,2413,27.112,27.152,,,,,
PERE_P16-99,57,964,16.912,18.32,,,,,
PERE_P16-17,0,0,-nan,-nan,,,,,
